"","Threshold","power_open","dcy_indx","PXID"
"418","0.017","2122","0","PXD010504"
"419","0.018","2155","0","PXD010504"
"420","0.019","2166","0","PXD010504"
"421","0.02","2170","0","PXD010504"
"422","0.021","2178","0","PXD010504"
"423","0.022","2185","0","PXD010504"
"424","0.023","2187","0","PXD010504"
"425","0.024","2188","0","PXD010504"
"426","0.025","2201","0","PXD010504"
"427","0.026","2205","0","PXD010504"
"428","0.027","2224","0","PXD010504"
"429","0.028","2228","0","PXD010504"
"430","0.029","2239","0","PXD010504"
"431","0.03","2244","0","PXD010504"
"432","0.031","2255","0","PXD010504"
"433","0.032","2260","0","PXD010504"
"434","0.033","2266","0","PXD010504"
"435","0.034","2280","0","PXD010504"
"436","0.035","2281","0","PXD010504"
"437","0.036","2285","0","PXD010504"
"438","0.037","2289","0","PXD010504"
"439","0.038","2298","0","PXD010504"
"440","0.039","2299","0","PXD010504"
"441","0.04","2306","0","PXD010504"
"442","0.041","2312","0","PXD010504"
"443","0.042","2316","0","PXD010504"
"444","0.043","2336","0","PXD010504"
"445","0.044","2337","0","PXD010504"
"446","0.045","2338","0","PXD010504"
"447","0.046","2340","0","PXD010504"
"448","0.047","2342","0","PXD010504"
"449","0.048","2345","0","PXD010504"
"450","0.049","2347","0","PXD010504"
"451","0.05","2349","0","PXD010504"
"452","0.01","2051","1","PXD010504"
"453","0.011","2053","1","PXD010504"
"454","0.012","2053","1","PXD010504"
"455","0.013","2077","1","PXD010504"
"456","0.014","2086","1","PXD010504"
"457","0.015","2089","1","PXD010504"
"458","0.016","2101","1","PXD010504"
"459","0.017","2135","1","PXD010504"
"460","0.018","2167","1","PXD010504"
"461","0.019","2177","1","PXD010504"
"462","0.02","2182","1","PXD010504"
"463","0.021","2202","1","PXD010504"
"464","0.022","2205","1","PXD010504"
"465","0.023","2206","1","PXD010504"
"466","0.024","2219","1","PXD010504"
"467","0.025","2225","1","PXD010504"
"468","0.026","2238","1","PXD010504"
"469","0.027","2253","1","PXD010504"
"470","0.028","2256","1","PXD010504"
"471","0.029","2270","1","PXD010504"
"472","0.03","2276","1","PXD010504"
