"","Threshold","power_narrow","dcy_indx","PXID"
"539","0.015","502","1","PXD012528"
"540","0.016","502","1","PXD012528"
"541","0.017","502","1","PXD012528"
"542","0.018","504","1","PXD012528"
"543","0.019","504","1","PXD012528"
"544","0.02","504","1","PXD012528"
"545","0.021","504","1","PXD012528"
"546","0.022","513","1","PXD012528"
"547","0.023","513","1","PXD012528"
"548","0.024","513","1","PXD012528"
"549","0.025","513","1","PXD012528"
"550","0.026","515","1","PXD012528"
"551","0.027","515","1","PXD012528"
"552","0.028","515","1","PXD012528"
"553","0.029","515","1","PXD012528"
"554","0.03","517","1","PXD012528"
"555","0.031","520","1","PXD012528"
"556","0.032","520","1","PXD012528"
"557","0.033","521","1","PXD012528"
"558","0.034","521","1","PXD012528"
"559","0.035","529","1","PXD012528"
"560","0.036","530","1","PXD012528"
"561","0.037","530","1","PXD012528"
"562","0.038","531","1","PXD012528"
"563","0.039","531","1","PXD012528"
"564","0.04","531","1","PXD012528"
"565","0.041","531","1","PXD012528"
"566","0.042","532","1","PXD012528"
"567","0.043","532","1","PXD012528"
"568","0.044","532","1","PXD012528"
"569","0.045","532","1","PXD012528"
"570","0.046","532","1","PXD012528"
"571","0.047","534","1","PXD012528"
"572","0.048","534","1","PXD012528"
"573","0.049","534","1","PXD012528"
"574","0.05","534","1","PXD012528"
"575","0.01","3344","0","PXD012611"
"576","0.011","3345","0","PXD012611"
"577","0.012","3352","0","PXD012611"
"578","0.013","3358","0","PXD012611"
"579","0.014","3358","0","PXD012611"
"580","0.015","3364","0","PXD012611"
"581","0.016","3365","0","PXD012611"
"582","0.017","3375","0","PXD012611"
"583","0.018","3377","0","PXD012611"
"584","0.019","3379","0","PXD012611"
"585","0.02","3380","0","PXD012611"
"586","0.021","3385","0","PXD012611"
"587","0.022","3392","0","PXD012611"
"588","0.023","3395","0","PXD012611"
"589","0.024","3397","0","PXD012611"
"590","0.025","3405","0","PXD012611"
"591","0.026","3417","0","PXD012611"
"592","0.027","3417","0","PXD012611"
"593","0.028","3417","0","PXD012611"
"594","0.029","3417","0","PXD012611"
"595","0.03","3417","0","PXD012611"
"596","0.031","3417","0","PXD012611"
"597","0.032","3417","0","PXD012611"
"598","0.033","3417","0","PXD012611"
"599","0.034","3417","0","PXD012611"
"600","0.035","3417","0","PXD012611"
"601","0.036","3417","0","PXD012611"
"602","0.037","3417","0","PXD012611"
"603","0.038","3417","0","PXD012611"
