"","Threshold","power_open","dcy_indx","PXID"
"352","0.033","531","8","PXD002470"
"353","0.034","533","8","PXD002470"
"354","0.035","533","8","PXD002470"
"355","0.036","535","8","PXD002470"
"356","0.037","535","8","PXD002470"
"357","0.038","536","8","PXD002470"
"358","0.039","541","8","PXD002470"
"359","0.04","541","8","PXD002470"
"360","0.041","541","8","PXD002470"
"361","0.042","541","8","PXD002470"
"362","0.043","541","8","PXD002470"
"363","0.044","541","8","PXD002470"
"364","0.045","541","8","PXD002470"
"365","0.046","541","8","PXD002470"
"366","0.047","541","8","PXD002470"
"367","0.048","541","8","PXD002470"
"368","0.049","541","8","PXD002470"
"369","0.05","541","8","PXD002470"
"370","0.01","468","9","PXD002470"
"371","0.011","482","9","PXD002470"
"372","0.012","482","9","PXD002470"
"373","0.013","495","9","PXD002470"
"374","0.014","495","9","PXD002470"
"375","0.015","497","9","PXD002470"
"376","0.016","497","9","PXD002470"
"377","0.017","498","9","PXD002470"
"378","0.018","504","9","PXD002470"
"379","0.019","504","9","PXD002470"
"380","0.02","506","9","PXD002470"
"381","0.021","506","9","PXD002470"
"382","0.022","507","9","PXD002470"
"383","0.023","507","9","PXD002470"
"384","0.024","514","9","PXD002470"
"385","0.025","514","9","PXD002470"
"386","0.026","515","9","PXD002470"
"387","0.027","524","9","PXD002470"
"388","0.028","524","9","PXD002470"
"389","0.029","524","9","PXD002470"
"390","0.03","524","9","PXD002470"
"391","0.031","532","9","PXD002470"
"392","0.032","533","9","PXD002470"
"393","0.033","533","9","PXD002470"
"394","0.034","538","9","PXD002470"
"395","0.035","538","9","PXD002470"
"396","0.036","538","9","PXD002470"
"397","0.037","538","9","PXD002470"
"398","0.038","538","9","PXD002470"
"399","0.039","538","9","PXD002470"
"400","0.04","538","9","PXD002470"
"401","0.041","539","9","PXD002470"
"402","0.042","539","9","PXD002470"
"403","0.043","544","9","PXD002470"
"404","0.044","544","9","PXD002470"
"405","0.045","544","9","PXD002470"
"406","0.046","546","9","PXD002470"
"407","0.047","546","9","PXD002470"
"408","0.048","546","9","PXD002470"
"409","0.049","546","9","PXD002470"
"410","0.05","546","9","PXD002470"
"411","0.01","717","0","PXD006856"
"412","0.011","733","0","PXD006856"
"413","0.012","733","0","PXD006856"
"414","0.013","734","0","PXD006856"
"415","0.014","737","0","PXD006856"
"416","0.015","742","0","PXD006856"
"417","0.016","742","0","PXD006856"
"418","0.017","745","0","PXD006856"
"419","0.018","754","0","PXD006856"
"420","0.019","760","0","PXD006856"
"421","0.02","766","0","PXD006856"
"422","0.021","766","0","PXD006856"
"423","0.022","766","0","PXD006856"
"424","0.023","767","0","PXD006856"
"425","0.024","772","0","PXD006856"
"426","0.025","772","0","PXD006856"
"427","0.026","775","0","PXD006856"
"428","0.027","775","0","PXD006856"
"429","0.028","775","0","PXD006856"
"430","0.029","775","0","PXD006856"
"431","0.03","779","0","PXD006856"
"432","0.031","786","0","PXD006856"
"433","0.032","786","0","PXD006856"
"434","0.033","790","0","PXD006856"
"435","0.034","790","0","PXD006856"
"436","0.035","792","0","PXD006856"
"437","0.036","796","0","PXD006856"
"438","0.037","798","0","PXD006856"
"439","0.038","800","0","PXD006856"
"440","0.039","800","0","PXD006856"
"441","0.04","809","0","PXD006856"
"442","0.041","809","0","PXD006856"
"443","0.042","817","0","PXD006856"
"444","0.043","818","0","PXD006856"
"445","0.044","820","0","PXD006856"
"446","0.045","820","0","PXD006856"
"447","0.046","821","0","PXD006856"
"448","0.047","824","0","PXD006856"
"449","0.048","825","0","PXD006856"
"450","0.049","825","0","PXD006856"
"451","0.05","825","0","PXD006856"
"452","0.01","721","1","PXD006856"
"453","0.011","721","1","PXD006856"
"454","0.012","754","1","PXD006856"
"455","0.013","754","1","PXD006856"
"456","0.014","754","1","PXD006856"
"457","0.015","761","1","PXD006856"
"458","0.016","767","1","PXD006856"
"459","0.017","770","1","PXD006856"
"460","0.018","770","1","PXD006856"
"461","0.019","773","1","PXD006856"
"462","0.02","778","1","PXD006856"
"463","0.021","786","1","PXD006856"
"464","0.022","790","1","PXD006856"
"465","0.023","791","1","PXD006856"
"466","0.024","797","1","PXD006856"
"467","0.025","797","1","PXD006856"
"468","0.026","798","1","PXD006856"
"469","0.027","799","1","PXD006856"
"470","0.028","799","1","PXD006856"
"471","0.029","800","1","PXD006856"
"472","0.03","802","1","PXD006856"
"473","0.031","802","1","PXD006856"
"474","0.032","804","1","PXD006856"
"475","0.033","804","1","PXD006856"
"476","0.034","805","1","PXD006856"
"477","0.035","806","1","PXD006856"
"478","0.036","812","1","PXD006856"
"479","0.037","812","1","PXD006856"
"480","0.038","812","1","PXD006856"
"481","0.039","813","1","PXD006856"
"482","0.04","813","1","PXD006856"
"483","0.041","815","1","PXD006856"
"484","0.042","815","1","PXD006856"
"485","0.043","815","1","PXD006856"
"486","0.044","827","1","PXD006856"
"487","0.045","828","1","PXD006856"
"488","0.046","829","1","PXD006856"
"489","0.047","832","1","PXD006856"
"490","0.048","837","1","PXD006856"
"491","0.049","837","1","PXD006856"
"492","0.05","840","1","PXD006856"
"493","0.01","677","2","PXD006856"
"494","0.011","686","2","PXD006856"
"495","0.012","687","2","PXD006856"
"496","0.013","687","2","PXD006856"
"497","0.014","692","2","PXD006856"
"498","0.015","705","2","PXD006856"
"499","0.016","719","2","PXD006856"
"500","0.017","732","2","PXD006856"
"501","0.018","732","2","PXD006856"
"502","0.019","732","2","PXD006856"
"503","0.02","735","2","PXD006856"
"504","0.021","735","2","PXD006856"
"505","0.022","736","2","PXD006856"
"506","0.023","736","2","PXD006856"
"507","0.024","737","2","PXD006856"
"508","0.025","737","2","PXD006856"
"509","0.026","745","2","PXD006856"
"510","0.027","746","2","PXD006856"
"511","0.028","753","2","PXD006856"
"512","0.029","753","2","PXD006856"
"513","0.03","753","2","PXD006856"
"514","0.031","753","2","PXD006856"
"515","0.032","757","2","PXD006856"
"516","0.033","761","2","PXD006856"
"517","0.034","768","2","PXD006856"
"518","0.035","768","2","PXD006856"
"519","0.036","769","2","PXD006856"
"520","0.037","784","2","PXD006856"
"521","0.038","784","2","PXD006856"
"522","0.039","785","2","PXD006856"
"523","0.04","789","2","PXD006856"
"524","0.041","790","2","PXD006856"
"525","0.042","791","2","PXD006856"
"526","0.043","795","2","PXD006856"
"527","0.044","799","2","PXD006856"
