"","Threshold","power_narrow","dcy_indx","PXID"
"547","0.023","462","3","PXD006856"
"548","0.024","466","3","PXD006856"
"549","0.025","466","3","PXD006856"
"550","0.026","466","3","PXD006856"
"551","0.027","466","3","PXD006856"
"552","0.028","475","3","PXD006856"
"553","0.029","475","3","PXD006856"
"554","0.03","477","3","PXD006856"
"555","0.031","477","3","PXD006856"
"556","0.032","478","3","PXD006856"
"557","0.033","478","3","PXD006856"
"558","0.034","481","3","PXD006856"
"559","0.035","481","3","PXD006856"
"560","0.036","481","3","PXD006856"
"561","0.037","481","3","PXD006856"
"562","0.038","482","3","PXD006856"
"563","0.039","490","3","PXD006856"
"564","0.04","490","3","PXD006856"
"565","0.041","491","3","PXD006856"
"566","0.042","491","3","PXD006856"
"567","0.043","491","3","PXD006856"
"568","0.044","491","3","PXD006856"
"569","0.045","491","3","PXD006856"
"570","0.046","491","3","PXD006856"
"571","0.047","492","3","PXD006856"
"572","0.048","492","3","PXD006856"
"573","0.049","495","3","PXD006856"
"574","0.05","495","3","PXD006856"
"575","0.01","443","4","PXD006856"
"576","0.011","443","4","PXD006856"
"577","0.012","450","4","PXD006856"
"578","0.013","450","4","PXD006856"
"579","0.014","454","4","PXD006856"
"580","0.015","454","4","PXD006856"
"581","0.016","454","4","PXD006856"
"582","0.017","454","4","PXD006856"
"583","0.018","454","4","PXD006856"
"584","0.019","454","4","PXD006856"
"585","0.02","459","4","PXD006856"
"586","0.021","459","4","PXD006856"
"587","0.022","461","4","PXD006856"
"588","0.023","461","4","PXD006856"
"589","0.024","465","4","PXD006856"
"590","0.025","465","4","PXD006856"
"591","0.026","469","4","PXD006856"
"592","0.027","469","4","PXD006856"
"593","0.028","469","4","PXD006856"
"594","0.029","469","4","PXD006856"
"595","0.03","469","4","PXD006856"
"596","0.031","469","4","PXD006856"
"597","0.032","469","4","PXD006856"
"598","0.033","469","4","PXD006856"
"599","0.034","469","4","PXD006856"
"600","0.035","470","4","PXD006856"
"601","0.036","474","4","PXD006856"
"602","0.037","474","4","PXD006856"
"603","0.038","474","4","PXD006856"
"604","0.039","474","4","PXD006856"
"605","0.04","474","4","PXD006856"
"606","0.041","474","4","PXD006856"
"607","0.042","478","4","PXD006856"
"608","0.043","478","4","PXD006856"
"609","0.044","482","4","PXD006856"
"610","0.045","482","4","PXD006856"
"611","0.046","483","4","PXD006856"
"612","0.047","483","4","PXD006856"
"613","0.048","485","4","PXD006856"
"614","0.049","485","4","PXD006856"
"615","0.05","488","4","PXD006856"
"616","0.01","435","5","PXD006856"
"617","0.011","435","5","PXD006856"
"618","0.012","436","5","PXD006856"
"619","0.013","436","5","PXD006856"
"620","0.014","452","5","PXD006856"
"621","0.015","452","5","PXD006856"
"622","0.016","462","5","PXD006856"
"623","0.017","462","5","PXD006856"
"624","0.018","462","5","PXD006856"
"625","0.019","462","5","PXD006856"
"626","0.02","462","5","PXD006856"
"627","0.021","462","5","PXD006856"
"628","0.022","462","5","PXD006856"
"629","0.023","462","5","PXD006856"
"630","0.024","464","5","PXD006856"
"631","0.025","464","5","PXD006856"
"632","0.026","470","5","PXD006856"
"633","0.027","470","5","PXD006856"
"634","0.028","470","5","PXD006856"
"635","0.029","470","5","PXD006856"
"636","0.03","472","5","PXD006856"
"637","0.031","472","5","PXD006856"
"638","0.032","473","5","PXD006856"
"639","0.033","473","5","PXD006856"
"640","0.034","474","5","PXD006856"
"641","0.035","474","5","PXD006856"
"642","0.036","475","5","PXD006856"
"643","0.037","475","5","PXD006856"
"644","0.038","475","5","PXD006856"
"645","0.039","475","5","PXD006856"
"646","0.04","476","5","PXD006856"
"647","0.041","476","5","PXD006856"
"648","0.042","476","5","PXD006856"
"649","0.043","476","5","PXD006856"
"650","0.044","476","5","PXD006856"
"651","0.045","477","5","PXD006856"
"652","0.046","477","5","PXD006856"
"653","0.047","478","5","PXD006856"
"654","0.048","478","5","PXD006856"
"655","0.049","479","5","PXD006856"
"656","0.05","479","5","PXD006856"
"657","0.01","444","6","PXD006856"
"658","0.011","444","6","PXD006856"
"659","0.012","452","6","PXD006856"
"660","0.013","452","6","PXD006856"
"661","0.014","455","6","PXD006856"
"662","0.015","455","6","PXD006856"
"663","0.016","456","6","PXD006856"
"664","0.017","456","6","PXD006856"
"665","0.018","458","6","PXD006856"
"666","0.019","458","6","PXD006856"
"667","0.02","458","6","PXD006856"
"668","0.021","458","6","PXD006856"
"669","0.022","459","6","PXD006856"
"670","0.023","459","6","PXD006856"
"671","0.024","467","6","PXD006856"
"672","0.025","467","6","PXD006856"
"673","0.026","468","6","PXD006856"
"674","0.027","468","6","PXD006856"
"675","0.028","469","6","PXD006856"
"676","0.029","469","6","PXD006856"
"677","0.03","469","6","PXD006856"
"678","0.031","469","6","PXD006856"
"679","0.032","471","6","PXD006856"
"680","0.033","471","6","PXD006856"
"681","0.034","471","6","PXD006856"
"682","0.035","471","6","PXD006856"
"683","0.036","471","6","PXD006856"
"684","0.037","472","6","PXD006856"
"685","0.038","472","6","PXD006856"
"686","0.039","472","6","PXD006856"
"687","0.04","472","6","PXD006856"
"688","0.041","474","6","PXD006856"
"689","0.042","474","6","PXD006856"
"690","0.043","476","6","PXD006856"
"691","0.044","480","6","PXD006856"
"692","0.045","480","6","PXD006856"
"693","0.046","480","6","PXD006856"
"694","0.047","480","6","PXD006856"
"695","0.048","480","6","PXD006856"
"696","0.049","480","6","PXD006856"
"697","0.05","484","6","PXD006856"
"698","0.01","453","7","PXD006856"
